auditory_location,visual_location,action,subject,experiment
-23.2,0.0,0.10211027910142954,participant 1.1,experiment 1
0.0,-11.6,-7.147719537100068,participant 1.1,experiment 1
23.2,0.0,27.127297481279783,participant 1.1,experiment 1
11.6,-11.6,14.125255275697754,participant 1.1,experiment 1
11.6,-23.2,16.33764465622873,participant 1.1,experiment 1
23.2,0.0,12.69571136827774,participant 1.1,experiment 1
-11.6,-23.2,-19.503063308373044,participant 1.1,experiment 1
-23.2,11.6,-16.065350578624916,participant 1.1,experiment 1
-11.6,-23.2,-22.430224642614025,participant 1.1,experiment 1
23.2,11.6,14.976174268209666,participant 1.1,experiment 1
23.2,11.6,19.094622191967325,participant 1.1,experiment 1
0.0,11.6,-12.729748127978217,participant 1.1,experiment 1
-11.6,-23.2,-21.238938053097346,participant 1.1,experiment 1
0.0,11.6,-16.33764465622873,participant 1.1,experiment 1
23.2,-11.6,14.908100748808714,participant 1.1,experiment 1
-23.2,0.0,-21.477195371000683,participant 1.1,experiment 1
23.2,-11.6,22.430224642614025,participant 1.1,experiment 1
0.0,-11.6,-13.989108236895849,participant 1.1,experiment 1
11.6,23.2,23.96187882913547,participant 1.1,experiment 1
-23.2,-11.6,-18.413886997957796,participant 1.1,experiment 1
-11.6,0.0,-16.848196051735876,participant 1.1,experiment 1
23.2,0.0,26.004084411164058,participant 1.1,experiment 1
-23.2,11.6,-26.208304969366917,participant 1.1,experiment 1
-23.2,11.6,-18.209666439754937,participant 1.1,experiment 1
-11.6,11.6,-12.59360108917631,participant 1.1,experiment 1
-11.6,23.2,-16.065350578624916,participant 1.1,experiment 1
-23.2,0.0,-17.324710687542545,participant 1.1,experiment 1
-11.6,23.2,-14.499659632402995,participant 1.1,experiment 1
11.6,-23.2,23.6215112321307,participant 1.1,experiment 1
23.2,-11.6,15.724982981620151,participant 1.1,experiment 1
-23.2,-11.6,-15.963240299523486,participant 1.1,experiment 1
11.6,-23.2,19.16269571136828,participant 1.1,experiment 1
0.0,-23.2,9.18992511912866,participant 1.1,experiment 1
23.2,-11.6,28.897208985704562,participant 1.1,experiment 1
-23.2,11.6,-12.457454050374405,participant 1.1,experiment 1
-23.2,0.0,-18.345813478556842,participant 1.1,experiment 1
-11.6,11.6,-18.141592920353983,participant 1.1,experiment 1
11.6,-23.2,11.368277739959156,participant 1.1,experiment 1
11.6,23.2,14.193328795098708,participant 1.1,experiment 1
0.0,-23.2,6.9434989788972095,participant 1.1,experiment 1
-11.6,23.2,-17.052416609938735,participant 1.1,experiment 1
0.0,23.2,12.729748127978217,participant 1.1,experiment 1
0.0,-23.2,10.687542545949626,participant 1.1,experiment 1
0.0,-23.2,6.05854322668482,participant 1.1,experiment 1
23.2,11.6,19.43498978897209,participant 1.1,experiment 1
23.2,-11.6,20.7283866575902,participant 1.1,experiment 1
11.6,0.0,13.070115724982982,participant 1.1,experiment 1
0.0,11.6,12.151123213070116,participant 1.1,experiment 1
0.0,23.2,20.081688223281144,participant 1.1,experiment 1
-11.6,0.0,-7.317903335602451,participant 1.1,experiment 1
11.6,0.0,10.517358747447243,participant 1.1,experiment 1
-23.2,-11.6,-16.643975493533016,participant 1.1,experiment 1
11.6,-11.6,18.65214431586113,participant 1.1,experiment 1
-11.6,23.2,-10.211027910142954,participant 1.1,experiment 1
-11.6,0.0,-6.466984343090538,participant 1.1,experiment 1
0.0,23.2,13.648740639891082,participant 1.1,experiment 1
-11.6,11.6,-6.909462219196732,participant 1.1,experiment 1
11.6,0.0,15.520762423417292,participant 1.1,experiment 1
0.0,-11.6,5.411844792375766,participant 1.1,experiment 1
23.2,0.0,18.413886997957796,participant 1.1,experiment 1
11.6,-11.6,12.253233492171546,participant 1.1,experiment 1
11.6,23.2,20.490129339686863,participant 1.1,experiment 1
23.2,-11.6,21.57930565010211,participant 1.1,experiment 1
-23.2,11.6,-10.687542545949626,participant 1.1,experiment 1
11.6,-23.2,6.466984343090538,participant 1.1,experiment 1
-11.6,23.2,-9.462219196732471,participant 1.1,experiment 1
11.6,-11.6,10.959836623553437,participant 1.1,experiment 1
-11.6,23.2,-11.606535057862493,participant 1.1,experiment 1
-23.2,11.6,-17.835262083049695,participant 1.1,experiment 1
-11.6,11.6,-7.215793056501021,participant 1.1,experiment 1
0.0,23.2,6.671204901293397,participant 1.1,experiment 1
11.6,-23.2,13.989108236895849,participant 1.1,experiment 1
11.6,-23.2,-12.049012933968687,participant 1.1,experiment 1
0.0,11.6,-8.543226684819606,participant 1.1,experiment 1
0.0,23.2,12.389380530973451,participant 1.1,experiment 1
-23.2,11.6,-16.20149761742682,participant 1.1,experiment 1
-23.2,11.6,-10.108917631041525,participant 1.1,experiment 1
-11.6,11.6,-5.820285908781484,participant 1.1,experiment 1
0.0,-23.2,16.78012253233492,participant 1.1,experiment 1
-11.6,0.0,-7.011572498298162,participant 1.1,experiment 1
11.6,-23.2,19.775357385976857,participant 1.1,experiment 1
0.0,23.2,13.886997957794419,participant 1.1,experiment 1
0.0,11.6,-6.1946902654867255,participant 1.1,experiment 1
-23.2,11.6,-16.50782845473111,participant 1.1,experiment 1
-23.2,-11.6,-13.614703880190607,participant 1.1,experiment 1
11.6,-11.6,9.700476514635808,participant 1.1,experiment 1
-11.6,23.2,-10.176991150442479,participant 1.1,experiment 1
23.2,0.0,18.413886997957796,participant 1.1,experiment 1
11.6,-23.2,13.444520081688223,participant 1.1,experiment 1
11.6,0.0,12.389380530973451,participant 1.1,experiment 1
23.2,-11.6,16.439754935330157,participant 1.1,experiment 1
11.6,-23.2,6.466984343090538,participant 1.1,experiment 1
11.6,23.2,13.818924438393465,participant 1.1,experiment 1
-11.6,23.2,-14.15929203539823,participant 1.1,experiment 1
-11.6,-23.2,-14.091218515997278,participant 1.1,experiment 1
