input,action
"Any[-23.2, 0.0]",-22.26202363142689
"Any[0.0, -11.6]",-1.2870279791022705
"Any[23.2, 0.0]",14.333930203554289
"Any[11.6, -11.6]",6.478184352876643
"Any[11.6, -23.2]",10.684043070256918
"Any[23.2, 0.0]",20.384297891774786
"Any[-11.6, -23.2]",-5.43402795856283
"Any[-23.2, 11.6]",-6.538365909931916
"Any[-11.6, -23.2]",-11.053325893329054
"Any[23.2, 11.6]",18.183616338562953
"Any[23.2, 11.6]",8.6112634475152
"Any[0.0, 11.6]",-0.05284872530546256
"Any[-11.6, -23.2]",-9.804658049661816
"Any[0.0, 11.6]",3.639193801920226
"Any[23.2, -11.6]",9.69419257485063
"Any[-23.2, 0.0]",-12.882013495458999
"Any[23.2, -11.6]",15.224326661752869
"Any[0.0, -11.6]",0.4133139308218726
"Any[11.6, 23.2]",13.30711253141274
"Any[-23.2, -11.6]",-20.14688941898149
"Any[-11.6, 0.0]",-3.1442878647055053
"Any[23.2, 0.0]",11.697397956417301
"Any[-23.2, 11.6]",-13.822557636806945
"Any[-23.2, 11.6]",-17.97485048401188
"Any[-11.6, 11.6]",-11.559412525948092
"Any[-11.6, 23.2]",-13.132912308947756
"Any[-23.2, 0.0]",-20.845196093256003
"Any[-11.6, 23.2]",-9.746567095949862
"Any[11.6, -23.2]",-1.0671384136619013
"Any[23.2, -11.6]",18.470880581908645
"Any[-23.2, -11.6]",-11.369510025865583
"Any[11.6, -23.2]",10.863778647654152
"Any[0.0, -23.2]",2.203646818056546
"Any[23.2, -11.6]",20.108863071041576
"Any[-23.2, 11.6]",-9.391616114997863
"Any[-23.2, 0.0]",-16.164883470059657
"Any[-11.6, 11.6]",-7.145927849151047
"Any[11.6, -23.2]",2.216446889641624
"Any[11.6, 23.2]",10.61243404473703
"Any[0.0, -23.2]",-3.7416521156729496
"Any[-11.6, 23.2]",-1.2034100303453032
"Any[0.0, 23.2]",-5.472846103241817
"Any[0.0, -23.2]",-7.271337570331758
"Any[0.0, -23.2]",4.205814067798533
"Any[23.2, 11.6]",17.470834420261394
"Any[23.2, -11.6]",9.863273864429102
"Any[11.6, 0.0]",12.118143694912611
"Any[0.0, 11.6]",-0.29043275695352877
"Any[0.0, 23.2]",-1.7353851633337558
"Any[-11.6, 0.0]",-15.241732663864138
"Any[11.6, 0.0]",6.714037388398742
"Any[-23.2, -11.6]",-15.023153366080631
"Any[11.6, -11.6]",11.382615898515468
"Any[-11.6, 23.2]",-8.197115129619492
"Any[-11.6, 0.0]",-11.740314911112744
"Any[0.0, 23.2]",-1.3006442364715334
"Any[-11.6, 11.6]",-15.72022097851867
"Any[11.6, 0.0]",3.098866259072657
"Any[0.0, -11.6]",-2.814982189063425
"Any[23.2, 0.0]",16.32315125188603
"Any[11.6, -11.6]",6.018859736113041
"Any[11.6, 23.2]",11.77228397308473
"Any[23.2, -11.6]",10.324597818547023
"Any[-23.2, 11.6]",-9.91733851722325
"Any[11.6, -23.2]",5.384194313423098
"Any[-11.6, 23.2]",-4.123889722663572
"Any[11.6, -11.6]",3.245381506138914
